DWCF,1.0802230366247283
AD09X,1.050385595740981
MXEF,1.0910016081439726
LBUSTRUU,1.188363226278975
BNDGLB,1.187711377514359
STCGUSRE,1.0298872684612994
SREITGL,1.0391856485149202
SPGTIND,1.1048017333019908
SPGSCI,1.0487569551516611
HFRXAR,1.0541813786343937
SPLPEQTY,1.0070796782714344
TRVCI,1.1332593501278885
IADMGOLD,1.0989802144709357
SPVXSTR,0.8934079404914366
SPX,1.0813767227892568
MXUSMC,1.0721263179039626
RTY,1.0355390093394212
ASX,1.0234711287140266
MXEU,1.0224805980063634
TPX,0.9931803986402831
MXASJ,1.1067489111435826
NDEUCHF,1.1497061760837344
IDCOTCTR,1.1499204975827528
CY00,1.1951582864116495
IBOXIG,1.1941297369897912
U0A0,1.365042556989152
SPBDU1ST,1.1174651958693627
GUKG10,0.9648282508964732
GECU10YR,0.9530632747030019
