,2,3,1,4,5
RTY,0.037462440369337116,0.03388612887018467,0.02831824859100944,0.04857262710517296,0.0337411433957684
TPX,0.03855885260708874,0.022524162221913117,0.027662864911436325,0.06890920896909286,0.03338150803142033
HFRXAR,0.0018196159387284157,0.0069624094452123576,0.0028064085433018174,0.012576036072164757,0.004359852004700955
SPVXSTR,0.12340306199434686,0.05955174547438371,0.08361872397510842,0.06917366007797733,0.10752795855400432
SPGTIND,0.018913231688285348,0.004767190863309036,0.03071463230504491,0.05722968541212147,0.027561128308840385
GECU10YR,0.08470326560869934,0.06837012000907652,0.13160022969542864,0.17677830111789986,0.13951707316113898
STCGUSRE,0.02070958659958826,0.03501072658763819,0.04054826799440607,0.11264862059932014,0.02936666430025762
MXEU,0.026940260813051103,0.013290254121583462,0.05405793719095989,0.045417279539811346,0.0251390178138876
GUKG10,0.1086466600044817,0.08899203984771861,0.1638939324892486,0.26570404915049,0.1362041006046171
MXUSMC,0.025254556009514678,0.02018334745387039,0.03430648042915209,0.06784530012547374,0.028334234590271592
IBOXIG,0.00835960190062689,0.00379683868127356,0.0026559145344034613,0.02685735014727364,0.010183629435843502
NDEUCHF,0.04781477534903385,0.017820568775377715,0.08834207686937078,0.07634637582685048,0.039459399108270586
Cycle,,,,,
MXASJ,0.033376230017599644,0.006159184109105092,0.05894642604692535,0.07715274634502851,0.03692117773031573
SPGSCI,0.05086965418766211,0.02749621226449394,0.031042289225215396,0.09453822381040804,0.0412741150271875
MXEF,0.02783142630853197,0.008108797153467314,0.0520116340728453,0.08631070374815757,0.038249859373710705
TRVCI,0.029119507751423714,0.01237356889997332,0.06835519236181298,0.051838081489508775,0.04083213083032617
CY00,0.006353918349516252,0.0035863451133231815,0.0015964104817162515,0.02592785120398574,0.007794300920213822
SPX,0.025126151224603557,0.00717756301628155,0.026662420960980673,0.05541408162874462,0.024788501283543297
IADMGOLD,0.029012914647011938,0.006410584599400021,0.01987153949612636,0.06727890225072279,0.03312128249530542
SPBDU1ST,0.006168856817594627,0.01237179634981397,0.006525669893750783,0.030194780394902206,0.015331734293566532
BNDGLB,0.004601124223506637,0.004377021304942728,0.004376927253333387,0.009388321863685463,0.007192303435756586
IDCOTCTR,0.0029101764029977723,0.004012927698332109,0.006352290822838225,0.012594255575068589,0.005802340196557774
DWCF,0.02609933497920838,0.0099085222190429,0.028100876966989607,0.05355901525325634,0.02616813124043147
AD09X,0.02683809742337461,0.008349495907060493,0.036198799551933655,0.07073296224210907,0.03481179796639402
ASX,0.024884450654811617,0.011377343992212038,0.0363271623223841,0.04671393079042625,0.021915815809240746
LBUSTRUU,0.004643308170663476,0.0028803185053865514,0.0037467724998865998,0.009123107756529298,0.005561818441248071
SPLPEQTY,0.033784863320536894,0.0245008756742761,0.040165871384989144,0.11624404078801644,0.03983532505456164
SREITGL,0.021327059814043918,0.03750784271906246,0.03195757972694247,0.10730673065347515,0.03206815032477145
