,AD09X,ASX,BNDGLB,CY00,DWCF,GECU10YR,GUKG10,HFRXAR,IADMGOLD,IBOXIG,IDCOTCTR,LBUSTRUU,MXASJ,MXEF,MXEU,MXUSMC,NDEUCHF,RTY,SPBDU1ST,SPGSCI,SPGTIND,SPLPEQTY,SPVXSTR,SPX,SREITGL,STCGUSRE,TPX,TRVCI,U0A0
IDCOTCTR,-1.212088718887936e-05,-1.4705281020939792e-05,6.746182266259049e-06,8.090779287002472e-06,-1.7069070175241203e-05,-9.484289550575512e-05,-0.00010048142358887944,-5.688045120237821e-07,4.536146756384573e-06,6.434661159825087e-06,8.893440626622994e-06,6.945965381109851e-06,-8.223957695075113e-06,-1.3222826971503239e-05,-1.6581370022288654e-05,-1.88153890457064e-05,-8.890385667324388e-06,-1.9784777665377182e-05,1.1262671601558797e-05,-1.3689304963479483e-05,-1.0680261213647459e-05,-2.037696149797127e-05,4.7126247546266006e-05,-1.676428754916391e-05,-1.2474974915077639e-05,-1.666405894016515e-05,-5.752471637869047e-06,-1.6024493275687384e-05,2.757101731888074e-06
LBUSTRUU,-4.854864142887085e-06,-7.625082738710388e-06,5.8031206976219e-06,7.1169271608377425e-06,-1.0431089015312603e-05,-7.223060492895123e-05,-7.63430397197776e-05,-2.4929277464061963e-07,4.335582617824707e-06,6.014877134818105e-06,6.945965381109851e-06,6.106794828822448e-06,-1.6912345765240958e-06,-5.10698023640663e-06,-8.90806425836852e-06,-1.1356706678961708e-05,-1.4228552465493695e-06,-1.2361486645661813e-05,9.713156080312537e-06,-8.156654608947094e-06,-4.362067730539791e-06,-1.0276197212437847e-05,2.9917596553337123e-05,-1.0287226492084619e-05,-5.5283787420236446e-06,-9.088565217083932e-06,-7.824009571180772e-07,-1.0519806896455904e-05,2.5313802618165384e-06
MXASJ,0.00013250798718525425,9.893449733351805e-05,-3.112259948395614e-06,1.9404339036436827e-06,5.606509748975214e-05,0.00013281958911830078,0.0001567328099330297,7.164196465424766e-06,1.101132676810409e-05,1.1470776621841975e-06,-8.223957695075113e-06,-1.6912345765240958e-06,0.00021671796199600933,0.00019533027883995266,0.00010559783948778212,6.498735336465234e-05,0.00027104911344582856,5.7882292742490384e-05,-2.6114860857014774e-07,6.87228198490755e-05,0.00010560824445675625,0.00011879281117997882,-0.00015527486223601748,5.3923926462258736e-05,8.339826541525698e-05,4.4282229746993674e-05,0.00015280951952752485,5.838600557529295e-05,-1.930667839082746e-06
MXEF,0.0001565816098419413,0.00013038929244448886,-5.444809538710627e-06,-2.160250861579708e-06,9.572809430163058e-05,0.00021166695292516196,0.00023098627160097378,7.775757724857725e-06,2.18410671901887e-05,-1.11517586234679e-06,-1.3222826971503239e-05,-5.10698023640663e-06,0.00019533027883995266,0.0002099896392016655,0.00013847057940107038,0.00010893925302571734,0.00023868714320808798,0.0001040924369639272,-3.2101643960402538e-06,9.921165754985556e-05,0.0001315901100493569,0.00016125343465267836,-0.00025515051339359017,9.300362153035124e-05,0.00011710022639120299,9.622638254578258e-05,0.00013621356248311693,9.040572734101944e-05,-3.6881011424749606e-06
MXEU,0.00014428337126388881,0.00015630161127566753,-1.1721071606925882e-05,-7.523192427274662e-06,0.00011007683724940829,0.00028000197048444085,0.00031600216372557326,6.9906350920388105e-06,7.972606018490003e-07,-5.582731525636994e-06,-1.6581370022288654e-05,-8.90806425836852e-06,0.00010559783948778212,0.00013847057940107038,0.0001781504051899309,0.00012126037288308334,0.0001223084314669221,0.00012064406614260956,-1.0388888892384349e-05,8.164345640822285e-05,0.00012142624682395198,0.0001664630047634245,-0.000298145753670141,0.00010803782674636745,0.00011335320486997569,0.00011162585697556908,8.561870535855042e-05,0.00010653833864757529,-4.566403646297575e-06
MXUSMC,0.00010568651869278885,0.00011045158904706945,-1.188170822777746e-05,-1.3040006444221906e-05,0.00018590144597767946,0.00023998416111479078,0.0002466604105733799,4.452150460212197e-06,1.0415034944813788e-05,-9.350866708892562e-06,-1.88153890457064e-05,-1.1356706678961708e-05,6.498735336465234e-05,0.00010893925302571734,0.00012126037288308334,0.00020833841334808148,7.177561575609911e-05,0.00022372399605636426,-1.629360035991644e-05,8.91563036343815e-05,0.00011310261609448684,0.0002000420394432668,-0.00046361656806433995,0.0001816061954450429,0.00017215275451232527,0.00025103936165628916,4.508694129696783e-05,0.0001690888480692598,-6.038351925093527e-06
NDEUCHF,0.00015339406031918026,0.00011427325115526477,-3.933562730485802e-06,2.946425207873464e-06,6.167116985818406e-05,0.000140498573405439,0.00017384121146128342,8.732392916097967e-06,9.336773614289682e-06,2.1117763412749984e-06,-8.890385667324388e-06,-1.4228552465493695e-06,0.00027104911344582856,0.00023868714320808798,0.0001223084314669221,7.177561575609911e-05,0.0004068582337292478,6.207165697170452e-05,-4.891368840750023e-07,7.561817801612455e-05,0.00012555088084463957,0.00013028276654715,-0.00017205683158306876,5.927196650611396e-05,8.97775106387663e-05,3.884062570753247e-05,0.00018750862524390165,6.728505547761446e-05,-2.434728407452466e-06
RTY,0.0001019859910999323,0.00010793844804074342,-1.2800332572309843e-05,-1.4938601869043487e-05,0.0002016884027417624,0.00025519190991088784,0.0002583958851345363,3.7920602546683155e-06,6.419051186106505e-06,-1.1482681678160853e-05,-1.9784777665377182e-05,-1.2361486645661813e-05,5.7882292742490384e-05,0.0001040924369639272,0.00012064406614260956,0.00022372399605636426,6.207165697170452e-05,0.0002678023613476226,-1.8787008074841138e-05,8.13750892544018e-05,0.00011004346748499561,0.00021644884848352072,-0.0005068964742512828,0.00019458574751052423,0.00019100258526063294,0.00028912628187128316,3.839646095148284e-05,0.00018698248380229286,-6.859533275298713e-06
SPBDU1ST,-2.5447602360365536e-06,-7.726137976717152e-06,9.577060752890952e-06,1.1970309576162823e-05,-1.5548540643006093e-05,-0.00011813796456428512,-0.0001278935121492967,8.124731530747814e-08,1.1891141225240237e-05,1.0024101033522637e-05,1.1262671601558797e-05,9.713156080312537e-06,-2.6114860857014774e-07,-3.2101643960402538e-06,-1.0388888892384349e-05,-1.629360035991644e-05,-4.891368840750023e-07,-1.8787008074841138e-05,2.5923125279114172e-05,-1.9953968633727624e-06,-2.9439740385692046e-06,-1.2995516660855163e-05,4.603081476423991e-05,-1.5482828834121885e-05,-6.601254299320952e-06,-1.4855262422163655e-05,6.032975915409722e-08,-1.6095381694007663e-05,4.492324577766176e-06
SPGSCI,9.263955743106411e-05,8.256531310409803e-05,-5.519299827413614e-06,-7.938008335794068e-06,7.4387290760611e-05,0.00018820710121564296,0.00019577648855130335,4.529764250092229e-06,6.296150957738793e-05,-6.463374214105279e-06,-1.3689304963479483e-05,-8.156654608947094e-06,6.87228198490755e-05,9.921165754985556e-05,8.164345640822285e-05,8.91563036343815e-05,7.561817801612455e-05,8.13750892544018e-05,-1.9953968633727624e-06,0.00025049125113816906,8.856000979951209e-05,0.00010910907887703641,-0.00018720739074599448,7.172307883849859e-05,6.498271053917743e-05,5.836512317975849e-05,3.873357329181759e-05,4.884110620651341e-05,-3.159265511131228e-06
SPGTIND,0.0001315624733885906,0.00011331276360523621,-2.640787906005453e-06,-2.9195419612925743e-06,0.00010133092121380423,0.00018928988072279361,0.00019596585147192247,6.189046424721356e-06,2.221202475291624e-05,-1.5840688512036466e-06,-1.0680261213647459e-05,-4.362067730539791e-06,0.00010560824445675625,0.0001315901100493569,0.00012142624682395198,0.00011310261609448684,0.00012555088084463957,0.00011004346748499561,-2.9439740385692046e-06,8.856000979951209e-05,0.00012979786316208284,0.00014847765027797513,-0.00026116383645728936,9.94614139094732e-05,0.00011004875024451285,0.00010730675763620217,8.541485333095255e-05,8.976410648846731e-05,-2.6190220216648217e-06
SPLPEQTY,0.00016179661208623285,0.00015156309590001684,-9.91359434431746e-06,-1.003906824344648e-05,0.00017938954434572194,0.00031218956104204983,0.000335340040921995,5.773994543540181e-06,7.757808191853466e-06,-7.277629093660732e-06,-2.037696149797127e-05,-1.0276197212437847e-05,0.00011879281117997882,0.00016125343465267836,0.0001664630047634245,0.0002000420394432668,0.00013028276654715,0.00021644884848352072,-1.2995516660855163e-05,0.00010910907887703641,0.00014847765027797513,0.0002855062039141348,-0.000443548767649134,0.00017440084086392977,0.00019302837446825524,0.00024057149961984866,9.643509465988339e-05,0.00014867865756098512,-6.2622090087109686e-06
SPVXSTR,-0.0002502400366166266,-0.0002700244828518305,3.182724329698766e-05,3.2614635207232106e-05,-0.0004301482533254715,-0.0006282246156480554,-0.0006369140633972486,-1.610318611994249e-05,-2.60158403089684e-05,2.575723708995197e-05,4.7126247546266006e-05,2.9917596553337123e-05,-0.00015527486223601748,-0.00025515051339359017,-0.000298145753670141,-0.00046361656806433995,-0.00017205683158306876,-0.0005068964742512828,4.603081476423991e-05,-0.00018720739074599448,-0.00026116383645728936,-0.000443548767649134,0.0018393636035461795,-0.0004229831588010429,-0.0003674178860977466,-0.000504918872140658,-0.00011930422166725094,-0.0004609698783907788,1.3879213191170355e-05
SPX,9.127650580564991e-05,9.841860600381091e-05,-1.0927506896297776e-05,-1.1830206463267947e-05,0.00016848889076639132,0.0002134570597196047,0.00022065742513005933,3.911914440718056e-06,5.229789021273246e-06,-8.32789319431461e-06,-1.676428754916391e-05,-1.0287226492084619e-05,5.3923926462258736e-05,9.300362153035124e-05,0.00010803782674636745,0.0001816061954450429,5.927196650611396e-05,0.00019458574751052423,-1.5482828834121885e-05,7.172307883849859e-05,9.94614139094732e-05,0.00017440084086392977,-0.0004229831588010429,0.00016675660737058243,0.00014931173281144852,0.00021976033033625693,3.7292000522226476e-05,0.00015417072257784692,-5.626933449589081e-06
SREITGL,0.0001119148065481719,0.0001045197572589758,-5.235181838118304e-06,-6.448159453835652e-06,0.0001536727019378924,0.0001849429665766244,0.00016468497739186944,2.5287297578852484e-06,1.1669490049563962e-05,-3.5431989300417206e-06,-1.2474974915077639e-05,-5.5283787420236446e-06,8.339826541525698e-05,0.00011710022639120299,0.00011335320486997569,0.00017215275451232527,8.97775106387663e-05,0.00019100258526063294,-6.601254299320952e-06,6.498271053917743e-05,0.00011004875024451285,0.00019302837446825524,-0.0003674178860977466,0.00014931173281144852,0.00021187371149766174,0.00029425069387143093,5.9146950959923646e-05,0.00012236085127963995,-4.141729043722984e-06
STCGUSRE,9.084416345039116e-05,0.00010104538830353399,-9.981137257524626e-06,-1.3270471016465436e-05,0.0002256885316018888,0.00020599507659541013,0.00017014902549973148,-7.412093644213606e-07,2.8448090329357317e-06,-8.344819762731174e-06,-1.666405894016515e-05,-9.088565217083932e-06,4.4282229746993674e-05,9.622638254578258e-05,0.00011162585697556908,0.00025103936165628916,3.884062570753247e-05,0.00028912628187128316,-1.4855262422163655e-05,5.836512317975849e-05,0.00010730675763620217,0.00024057149961984866,-0.000504918872140658,0.00021976033033625693,0.00029425069387143093,0.00048441411316150985,1.789215219382615e-05,0.00016763839496374298,-6.588522924981505e-06
TPX,0.00012055587693616289,7.762615927614267e-05,-5.212258827438259e-06,2.526340161111829e-06,3.8769195941191374e-05,0.00010482268821309217,0.00014366559987527124,6.348873076401345e-06,-1.3267126674243007e-08,4.6886957853484884e-07,-5.752471637869047e-06,-7.824009571180772e-07,0.00015280951952752485,0.00013621356248311693,8.561870535855042e-05,4.508694129696783e-05,0.00018750862524390165,3.839646095148284e-05,6.032975915409722e-08,3.873357329181759e-05,8.541485333095255e-05,9.643509465988339e-05,-0.00011930422166725094,3.7292000522226476e-05,5.9146950959923646e-05,1.789215219382615e-05,0.00023485022673613946,4.5845325376928436e-05,-3.2398526682630943e-06
TRVCI,8.846379853167421e-05,9.442643742860489e-05,-1.1179041231207097e-05,-1.1514818193904445e-05,0.00015720837377460387,0.00019619643127455745,0.00021178634796588348,6.416282771761958e-06,-1.7905608479477073e-06,-8.95129189186104e-06,-1.6024493275687384e-05,-1.0519806896455904e-05,5.838600557529295e-05,9.040572734101944e-05,0.00010653833864757529,0.0001690888480692598,6.728505547761446e-05,0.00018698248380229286,-1.6095381694007663e-05,4.884110620651341e-05,8.976410648846731e-05,0.00014867865756098512,-0.0004609698783907788,0.00015417072257784692,0.00012236085127963995,0.00016763839496374298,4.5845325376928436e-05,0.0002531940476452847,-5.168591014657419e-06
U0A0,-3.618762451384085e-06,-3.62472485302753e-06,2.6600852307529095e-06,3.371209857335241e-06,-5.661402356684426e-06,-4.017622384025798e-05,-4.502924902427443e-05,-1.3661536843306078e-07,9.348180871108172e-07,3.691597540963794e-06,2.757101731888074e-06,2.5313802618165384e-06,-1.930667839082746e-06,-3.6881011424749606e-06,-4.566403646297575e-06,-6.038351925093527e-06,-2.434728407452466e-06,-6.859533275298713e-06,4.492324577766176e-06,-3.159265511131228e-06,-2.6190220216648217e-06,-6.2622090087109686e-06,1.3879213191170355e-05,-5.626933449589081e-06,-4.141729043722984e-06,-6.588522924981505e-06,-3.2398526682630943e-06,-5.168591014657419e-06,4.298517878083003e-06
