,2,3,1,4,5
RTY,0.7242925408733292,1.5401419930690894,0.4152480084210681,0.5150941352308794,1.7959532668610343
TPX,0.4840796396338209,0.8592813436902801,0.8901836881960852,0.36934028078978326,1.405429035241799
HFRXAR,1.1680330802717145,5.178244367968468,2.302207579296776,0.10761486407754567,0.614481338692259
SPVXSTR,0.6451163360474118,1.171930537336993,0.707604745023675,1.8424049657800057,0.3279953031949703
SPGTIND,0.7910734660894354,8.834535254591655,0.24411432732533903,0.3041563675556443,1.5020206590097422
GECU10YR,0.6037200580393667,1.7712944462225522,0.5928978522565664,0.622357902599248,0.6143341230672467
STCGUSRE,1.4081081521193457,0.7935003882094561,0.21587344135760173,0.45243852275881996,1.8613918042383049
MXEU,0.5505157057387634,1.8750928930766255,0.7955162607002957,0.3068203541281772,1.6047928046148912
GUKG10,0.6256301653695104,1.5470331013113374,0.622766042409358,0.6556603604366784,0.7348546544368092
MXUSMC,0.8460249608464986,2.187091894686551,0.4028674114870451,0.43064079447935605,2.1690799300961654
IBOXIG,2.264610870431098,1.441253023180372,1.4282789483288512,0.8451003808854562,2.8333398484297683
NDEUCHF,0.44840959156755755,15.096128446790113,0.502665392452718,0.6468852010265828,1.3393904660652443
Cycle,,,,,
MXASJ,0.4852031075338316,17.36459641546589,0.41950283958668844,0.5195302602568957,1.3977818421894619
SPGSCI,0.5392821215992684,3.1591890368816475,1.2016127606082054,0.47820573311256276,1.0549428939563137
MXEF,0.4995503606553725,12.00367788325893,0.40824617311940886,0.5069977147725118,1.2339275931372198
TRVCI,1.079830763269994,6.099063787102582,0.572208343395762,0.6152809539159393,2.113120028092772
CY00,2.195447444757126,1.6627634166720473,2.0511783443554785,0.7251233590012154,3.1917583817473183
SPX,0.9933671839050943,2.228352766789239,0.37750616031782097,0.3521991124136688,2.156775555147394
IADMGOLD,1.1675353240204671,3.147538403387592,2.137612791395585,0.893647362674665,1.0898186761748643
SPBDU1ST,1.3972470907392378,1.8670883361287485,2.919097187542687,0.9515572128811424,1.5901527708040581
BNDGLB,3.6597643576056056,2.061368796797486,1.8101876196103315,1.2691896950204133,1.9409948332001745
IDCOTCTR,2.294953248028422,2.2430900076807094,2.867285905387809,1.6427605101687817,1.5174113866653696
DWCF,0.9211856566861615,2.3283916944941265,0.3750645016933941,0.37664529763428517,2.149608276947582
AD09X,0.6715071148787547,6.6992408965248735,0.4588128065011189,0.3667444619159212,1.3347500363537639
ASX,0.47782363631264624,1.9607637776284286,0.5721095083322627,0.4309442646142923,1.5007481677729333
LBUSTRUU,2.613563748098044,2.215856546119123,2.838634718652584,1.4681149414808834,2.4471960229619727
SPLPEQTY,0.7021543313714413,1.532230902017881,0.28256934550914686,0.3516076681934432,1.5360967038160187
SREITGL,1.32526310776364,1.1102086862405947,0.1636859946230694,0.31693337862590126,1.8165374275803305
