,2,3,1,4,5
RTY,0.20020947267062073,0.1561654706389346,0.09317361404940883,0.4076622749580533,1.9017749006584752
TPX,0.19220169212814553,0.12423832665768741,0.17193631817592747,0.27972665794165275,1.5605620147846768
HFRXAR,0.02801466736176672,0.07774658047151495,0.023629426968213796,0.018605582341437055,0.13284431968627408
SPVXSTR,0.8454251433604733,0.6658652845972048,0.5213759116667331,1.5501254139317706,2.6118270497888108
SPGTIND,0.18726264151860061,0.3040791648756396,0.03956293651860188,0.24768873131670366,1.3319055479071527
GECU10YR,0.6768094994690036,1.093183984393962,0.5407466917594699,1.244719472188482,4.311438417340318
STCGUSRE,0.24940767745772696,0.24048859521410137,0.06197525327580511,0.5643493256683348,1.9077381331328331
MXEU,0.18564542349728486,0.15631618962022098,0.1591414127151527,0.21250413866353757,1.166585325654296
GUKG10,0.8794549149153266,1.1171257852346999,0.7219168869416088,1.8646685227960134,4.932271394106671
MXUSMC,0.191209741830198,0.1613348707106137,0.06895390653488764,0.361032030082033,1.7452594116600741
IBOXIG,0.09840085597794535,0.06388881688656523,0.05958783749984509,0.2047345142010224,0.6588755039620144
NDEUCHF,0.24455055071180154,0.9818145409140802,0.24173954694785094,0.6446984508960796,1.7653729593524368
Cycle,26,36,8,60,340
MXASJ,0.19555307946629674,0.5327936322319815,0.11873742896337847,0.5049505760823586,1.5573186191216832
SPGSCI,0.21857209990718773,0.45623040230963596,0.24487471597908383,0.4691057993528016,1.507317887177693
MXEF,0.20965145396062002,0.5171164306325482,0.11339112303416643,0.5138616303875935,1.5627971781688332
TRVCI,0.44126424415952914,0.358511192715677,0.19296360687434921,0.31351988512162465,2.4269286967652404
CY00,0.0762005034899379,0.057216306594960686,0.05420994088181441,0.14615127797859273,0.5482282203246691
SPX,0.1851201629306214,0.1728518010329836,0.06865046135773722,0.2502883030588401,1.491473756062781
IADMGOLD,0.27230012749370214,0.31261167088863195,0.23800375200774715,0.472066457648761,1.529248690800019
SPBDU1ST,0.07772489254265136,0.08744403738101059,0.15379670562531134,0.21889872847798886,0.5961996429313893
BNDGLB,0.08328959911605749,0.07918132492853247,0.05849538667928966,0.14230296299435152,0.38327716760444586
IDCOTCTR,0.06522059759482601,0.06452074837388255,0.08804963744099048,0.17672770163703388,0.3453964871061529
DWCF,0.18307150057913613,0.17684372687064354,0.06587466098888273,0.27049054878469325,1.5375298963660209
AD09X,0.19691258021783642,0.23601865414869683,0.09471859456741738,0.31324435463707123,1.4671998008483655
ASX,0.10161819875002454,0.14941492491012842,0.09998470390202696,0.2467241643608532,1.240888773889899
LBUSTRUU,0.059206082993182085,0.05549580773344087,0.059783606863741845,0.11622408033518261,0.3380342141352216
SPLPEQTY,0.21016839161524947,0.20066982780659814,0.07676049077546265,0.5250067717030875,1.9923388051840891
SREITGL,0.2183219409687941,0.20802337785135916,0.04312338113976821,0.3480779830095607,1.6761634388912137
