,1,2,3,4,5
RTY,-0.016400878292338328,-0.005862404387528275,0.004564055832680973,-0.02558468629993586,0.012394891705119185
TPX,-0.0026513365412096923,-0.015757223867091184,-0.0016954720862393986,-0.03184278288048474,0.006620305721848979
HFRXAR,0.0016707018064508472,0.00031001432625982634,0.005227708287795581,-0.010285657883787998,-0.001225662174292907
SPVXSTR,-0.026930260802803085,-0.03577501102796405,0.008140597396596339,0.04725104308523793,-0.07869374005214237
SPGTIND,-0.01531303857244154,-0.0038043859972491335,0.02247164931668592,-0.03777719727960167,0.0065465154722257595
GECU10YR,-0.04641169190497739,-0.03417350929158028,0.03966810532548829,-0.050352427993564354,-0.0398033706364681
STCGUSRE,-0.028139428457786997,0.005560396010690685,-0.00521537253264881,-0.045533398078592795,0.012982932107195621
MXEU,-0.005113319607192135,-0.011659655076929822,0.006079307106799233,-0.03200646928040291,0.006465397688871098
GUKG10,-0.05466169190497738,-0.04048120159927257,0.0329181053254883,-0.06528576132689769,-0.026171017695291645
MXUSMC,-0.01277548875983664,-0.0026769102429116207,0.0072973354029369775,-0.03182186677004276,0.013833106640619416
IBOXIG,0.00223347620640596,0.004226869571356018,0.001630012978591222,-0.0025017381750644272,0.006269584458349758
NDEUCHF,-0.029896986274342507,-0.023140199819740803,0.07639808626227547,-0.023461407941251036,0.006578395685044232
MXASJ,-0.020538222225124858,-0.015960028040647327,0.041842573223877445,-0.03113241459742943,0.0065173962068762244
SPGSCI,0.005135792194265687,-0.014363835253400766,0.025984719270746342,-0.034124324841350716,0.0011544590164702662
MXEF,-0.020545088787069232,-0.016156066425110454,0.03950304985800124,-0.03331178171555495,0.004356979153919723
TRVCI,-0.01803281575711252,0.0025094004480378583,0.024977487035431085,-0.013069050852808147,0.018800350020543994
CY00,0.0034726573179610365,0.0031916990281863813,0.0019004946057473715,-0.003693493147958556,0.005536242986636053
SPX,-0.01415026222702992,-9.508204604672474e-05,0.007940207044704809,-0.030690401945809624,0.01176388724498302
IADMGOLD,0.015832855333646922,0.003005666931401696,0.01777435471102203,-0.0037453634666744008,0.0018534531309252265
SPBDU1ST,0.012638788906996157,0.0016998253012727642,0.0033841330825965152,-0.0007429270926085918,0.003253931446902996
BNDGLB,0.003272605390351846,0.004656262523228201,0.0033974426644240627,0.002012123239430837,0.002732542310341257
IDCOTCTR,0.007167660131970288,0.002830881355269825,0.002979710180934162,0.004609866013620582,0.001731975111125772
DWCF,-0.013720111442497795,-0.0012048569390226223,0.008407725475409097,-0.02984444632469383,0.012092196968492527
AD09X,-0.013965524076422542,-0.007409782488833685,0.01673233314594365,-0.03605848084907594,0.005411292853863436
ASX,-0.009347533883112102,-0.008542357066048889,0.006101042925576672,-0.02171971525729303,0.006088853010302068
LBUSTRUU,0.004840364562569033,0.002811745493668275,0.002537579325439965,0.0024705707992179454,0.0029397496619384335
SPLPEQTY,-0.02436142225408905,-0.006857767513980031,0.005808669966159807,-0.06454359896222264,0.010225365978994634
SREITGL,-0.027541060926932148,0.004121798247312198,0.001720846379638874,-0.05001270884539154,0.01107998561549293
U0A0,0.0018226559423948907,0.0049013131086508375,0.0005930385422893147,0.0007781423072985349,0.003828023267922237
