Ticker,Type
DWCF,Index
AD09X,Index
MXEF,Index
LBUSTRUU,Index
BNDGLB,Index
STCGUSRE,Index
SREITGL,Index
SPGTIND,Index
SPGSCI,Index
HFRXAR,Index
SPLPEQTY,Index
TRVCI,Index
IADMGOLD,Index
SPVXSTR,Index
SPX,Index
MXUSMC,Index
RTY,Index
ASX,Index
MXEU,Index
TPX,Index
MXASJ,Index
NDEUCHF,Index
IDCOTCTR,Index
CY00,Index
IBOXIG,Index
U0A0,Index
SPBDU1ST,Index
GUKG10,Yield
GECU10YR,Yield
